File,Year,Month ,Site,Sample,SampleType,EffortValue,EffortUnits,Count,Biomass,PremadeCPUE
,2008,September,1,-999,HL,1,# fish,-999,-999,1.195652162
,2008,September,1,-999,HL,1,# fish,-999,-999,0.843084531
,2009,September,1,-999,HL,1,# fish,-999,-999,0.414312614
,2009,August,1,-999,HL,1,# fish,-999,-999,0
,2010,August,1,-999,HL,1,# fish,-999,-999,0.036578675
,2011,August,1,-999,HL,1,# fish,-999,-999,0.028133352
,2009,August,1,-999,HL,1,# fish,-999,-999,0.180924525
,2010,August,1,-999,HL,1,# fish,-999,-999,0.48663319
,2011,August,1,-999,HL,1,# fish,-999,-999,0.166910077
,2009,August,1,-999,HL,1,# fish,-999,-999,0.03628118
,2010,August,1,-999,HL,1,# fish,-999,-999,0.056053812
,2009,August,1,-999,HL,1,# fish,-999,-999,0.105787455
,2012,August,1,-999,HL,1,# fish,-999,-999,0.150515515
,2008,August,1,-999,HL,1,# fish,-999,-999,0.360227217
,2008,August,1,-999,HL,1,# fish,-999,-999,0.054592603
,2008,August,1,-999,HL,1,# fish,-999,-999,0.073434919
,2008,August,1,-999,HL,1,# fish,-999,-999,0.486925171
,2010,August,1,-999,HL,1,# fish,-999,-999,0.108010801
,2007,August,1,-999,HL,1,# fish,-999,-999,1.559330274
,2012,August,1,-999,HL,1,# fish,-999,-999,0.089614657
,2007,August,1,-999,HL,1,# fish,-999,-999,0.281910685
,2012,August,1,-999,HL,1,# fish,-999,-999,0.030765287
,2007,August,1,-999,HL,1,# fish,-999,-999,1.597789091
,2011,August,1,-999,HL,1,# fish,-999,-999,0.112196718
,2012,August,1,-999,HL,1,# fish,-999,-999,0
,2007,August,1,-999,HL,1,# fish,-999,-999,0.361171455
,2010,August,1,-999,HL,1,# fish,-999,-999,0
,2011,August,1,-999,HL,1,# fish,-999,-999,0
,2012,August,1,-999,HL,1,# fish,-999,-999,0
,2009,July,1,-999,HL,1,# fish,-999,-999,0.070323488
,2009,July,1,-999,HL,1,# fish,-999,-999,0.361150525
,2009,July,1,-999,HL,1,# fish,-999,-999,0.049535605
,2009,July,1,-999,HL,1,# fish,-999,-999,0.072163089
,2008,July,1,-999,HL,1,# fish,-999,-999,0.215073037
,2008,July,1,-999,HL,1,# fish,-999,-999,0.134674087
,2008,July,1,-999,HL,1,# fish,-999,-999,0.643604177
,2008,July,1,-999,HL,1,# fish,-999,-999,0
,2007,October,1,-999,HL,1,# fish,-999,-999,0.146502221
,2007,October,1,-999,HL,1,# fish,-999,-999,0.073522647
,2007,October,1,-999,HL,1,# fish,-999,-999,0.256959316
,2007,October,1,-999,HL,1,# fish,-999,-999,0.092614031
,2010,September,1,-999,HL,1,# fish,-999,-999,0
,2008,September,1,-999,HL,1,# fish,-999,-999,0.110656872
,2008,September,1,-999,HL,1,# fish,-999,-999,0.036840329
,2008,September,1,-999,HL,1,# fish,-999,-999,0.259555667
,2012,September,1,-999,HL,1,# fish,-999,-999,0.085293907
,2008,September,1,-999,HL,1,# fish,-999,-999,0.111555265
,2011,September,1,-999,HL,1,# fish,-999,-999,0.496141124
,2012,September,1,-999,HL,1,# fish,-999,-999,0.027926461
,2011,September,1,-999,HL,1,# fish,-999,-999,0.109873342
,2012,September,1,-999,HL,1,# fish,-999,-999,0.161972465
,2011,September,1,-999,HL,1,# fish,-999,-999,0.30871416
,2010,September,1,-999,HL,1,# fish,-999,-999,0.055055973
,2011,September,1,-999,HL,1,# fish,-999,-999,0.030113427
,2007,September,1,-999,HL,1,# fish,-999,-999,0.068840879
,2007,September,1,-999,HL,1,# fish,-999,-999,0.252487264
,2007,September,1,-999,HL,1,# fish,-999,-999,0.925297632
,2007,September,1,-999,HL,1,# fish,-999,-999,0.411330206
,2012,September,1,-999,HL,1,# fish,-999,-999,0.361445781
,2010,September,1,-999,HL,1,# fish,-999,-999,0
