Sample_id,Point,Side,Fieldcode,Size_est,Actual_cnt,Juv,Rec,
ZIPI5R0712,15,LS,Pomacentrus burroughi,8,3,FALSE,MRD,
ZIPI5R0712,15,LS,Pomacentrus burroughi,6,2,FALSE,MRD,
ZIPI5R0712,15,LS,Halichoeres trimaculatus,10,1,FALSE,MRD,
ZIPI5R0712,15,LS,Amblyglyphidodon curacao,6,2,FALSE,MRD,
ZIPI5R0712,15,LS,Lutjanus carponotatus,35,5,FALSE,MRD,
ZIPI5R0712,15,RD,Pentapodus aureofasciatus,20,1,FALSE,MRD,
ZIPI5R0712,15,RD,Amblyglyphidodon curacao,8,2,FALSE,MRD,
ZIPI5R0712,15,RD,Pomacentrus burroughi,8,3,FALSE,MRD,
ZIPI5R0712,15,RD,Pomacentrus reidi,6,6,FALSE,MRD,
ZIPI5R0712,15,RD,Pomacentrus reidi,4,4,FALSE,MRD,
ZIPI5R0712,15,RD,Chaetodon octofasciatus,10,1,FALSE,MRD,
ZIPI5R0712,20,RD,Cheilinus fasciatus,12,1,FALSE,MRD,
ZIPI5R0712,20,RD,Halichoeres trimaculatus,10,1,FALSE,MRD,
ZIPI5R0712,20,RD,Pomacentrus reidi,6,8,FALSE,MRD,
ZIPI5R0712,20,RD,Pomacentrus reidi,4,6,FALSE,MRD,
ZIPI5R0712,20,RD,Halichoeres richmondi,12,1,FALSE,MRD,
ZIPI5R0712,20,RD,Pentapodus aureofasciatus,18,2,FALSE,MRD,
ZIPI5R0712,20,LS,Halichoeres trimaculatus,9,1,FALSE,MRD,
ZIPI5R0712,20,LS,Halichoeres trimaculatus,12,1,FALSE,MRD,
ZIPI5R0712,20,LS,Amblyglyphidodon curacao,8,5,FALSE,MRD,
ZIPI5R0712,20,LS,Epibulus insidiator,18,1,FALSE,MRD,
ZIPI5R0712,20,LS,Pomacentrus burroughi,8,1,FALSE,MRD,
ZIPI5R0712,20,LS,Pomacentrus reidi,6,5,FALSE,MRD,
ZIPI5R0712,20,LS,Pomacentrus reidi,4,2,FALSE,MRD,
ZIPI5R0712,20,LS,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI5R0712,20,LS,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,25,LS,Diploprion bifasciatum,12,1,FALSE,MRD,
ZIPI5R0712,25,LS,Amblyglyphidodon curacao,8,3,FALSE,MRD,
ZIPI5R0712,25,LS,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI5R0712,25,LS,Halichoeres melanurus,12,1,FALSE,MRD,
ZIPI5R0712,25,LS,Pomacentrus reidi,6,10,FALSE,MRD,
ZIPI5R0712,25,LS,Pomacentrus reidi,4,5,FALSE,MRD,
ZIPI5R0712,25,LS,Neopomacentrus anabatoides,6,10,FALSE,MRD,
ZIPI5R0712,25,LS,Cheilinus fasciatus,12,1,FALSE,MRD,
ZIPI5R0712,25,LS,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,25,RD,Amblyglyphidodon curacao,8,1,FALSE,MRD,
ZIPI5R0712,25,RD,Pomacentrus reidi,6,11,FALSE,MRD,
ZIPI5R0712,25,RD,Pomacentrus reidi,4,2,FALSE,MRD,
ZIPI5R0712,25,RD,Dascyllus reticulatus,6,1,FALSE,MRD,
ZIPI5R0712,25,RD,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,30,RD,Pomacentrus reidi,6,12,FALSE,MRD,
ZIPI5R0712,30,RD,Pomacentrus reidi,4,6,FALSE,MRD,
ZIPI5R0712,30,RD,Pentapodus aureofasciatus,20,1,FALSE,MRD,
ZIPI5R0712,30,RD,Pentapodus aureofasciatus,22,1,FALSE,MRD,
ZIPI5R0712,30,RD,Dascyllus reticulatus,6,1,FALSE,MRD,
ZIPI5R0712,30,RD,Upeneus tragula,15,1,FALSE,MRD,
ZIPI5R0712,30,LS,Diploprion bifasciatum,12,1,FALSE,MRD,
ZIPI5R0712,30,LS,Acanthurus grammoptilus,20,1,FALSE,MRD,
ZIPI5R0712,30,LS,Ctenochaetus striatus,18,2,FALSE,MRD,
ZIPI5R0712,30,LS,Amblyglyphidodon curacao,8,15,FALSE,MRD,
ZIPI5R0712,30,LS,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,30,LS,Halichoeres melanurus,10,2,FALSE,MRD,
ZIPI5R0712,30,LS,Chaetodon kleinii,12,1,FALSE,MRD,
ZIPI5R0712,30,LS,Chaetodontoplus mesoleucus,20,1,FALSE,MRD,
ZIPI5R0712,30,LS,Neopomacentrus anabatoides,6,10,FALSE,MRD,
ZIPI5R0712,30,LS,Pomacentrus reidi,6,10,FALSE,MRD,
ZIPI5R0712,30,LS,Pomacentrus reidi,4,4,FALSE,MRD,
ZIPI5R0712,30,LS,Chrysiptera parasema,5,1,FALSE,MRD,
ZIPI5R0712,30,LS,Dascyllus reticulatus,6,3,FALSE,MRD,
ZIPI5R0712,35,LS,Stegastes sp.,7,1,FALSE,MRD,
ZIPI5R0712,35,LS,Pomacentrus reidi,6,10,FALSE,MRD,
ZIPI5R0712,35,LS,Pomacentrus reidi,4,5,FALSE,MRD,
ZIPI5R0712,35,LS,Pomacentrus burroughi,8,1,FALSE,MRD,
ZIPI5R0712,35,LS,Dascyllus reticulatus,6,2,FALSE,MRD,
ZIPI5R0712,35,RD,Cheilinus fasciatus,12,1,FALSE,MRD,
ZIPI5R0712,35,RD,Diploprion bifasciatum,12,1,FALSE,MRD,
ZIPI5R0712,35,RD,Myripristis hexagona,20,1,FALSE,MRD,
ZIPI5R0712,35,RD,Myripristis hexagona,18,1,FALSE,MRD,
ZIPI5R0712,35,RD,Neopomacentrus anabatoides,6,10,FALSE,MRD,
ZIPI5R0712,35,RD,Scolopsis ciliatus,18,1,FALSE,MRD,
ZIPI5R0712,35,RD,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,35,RD,Halichoeres melanurus,12,1,FALSE,MRD,
ZIPI5R0712,35,RD,Lutjanus biguttatus,20,1,FALSE,MRD,
ZIPI5R0712,35,RD,Epibulus insidiator,15,1,FALSE,MRD,
ZIPI5R0712,35,RD,Chaetodontoplus mesoleucus,10,1,FALSE,MRD,
ZIPI5R0712,40,RD,Epibulus insidiator,15,1,FALSE,MRD,
ZIPI5R0712,40,RD,Pomacentrus burroughi,8,1,FALSE,MRD,
ZIPI5R0712,40,RD,Pomacentrus reidi,6,4,FALSE,MRD,
ZIPI5R0712,40,RD,Chrysiptera parasema,5,6,FALSE,MRD,
ZIPI5R0712,40,LS,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,40,LS,Pomacentrus reidi,6,8,FALSE,MRD,
ZIPI5R0712,40,LS,Pomacentrus reidi,4,2,FALSE,MRD,
ZIPI5R0712,40,LS,Chaetodon octofasciatus,10,2,FALSE,MRD,
ZIPI5R0712,40,LS,Chaetodon octofasciatus,8,1,FALSE,MRD,
ZIPI5R0712,40,LS,Scolopsis ciliatus,15,2,FALSE,MRD,
ZIPI5R0712,40,LS,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,40,LS,Pomacentrus burroughi,6,1,FALSE,MRD,
ZIPI5R0712,40,LS,Amblyglyphidodon leucogaster,10,1,FALSE,MRD,
ZIPI5R0712,40,LS,Pomacentrus reidi,6,1,FALSE,MRD,
ZIPI5R0712,45,LS,Chaetodon octofasciatus,10,1,FALSE,MRD,
ZIPI5R0712,45,LS,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,45,LS,Pomacentrus reidi,6,8,FALSE,MRD,
ZIPI5R0712,45,LS,Pomacentrus reidi,4,2,FALSE,MRD,
ZIPI5R0712,45,LS,Scarus oviceps,25,1,FALSE,MRD,
ZIPI5R0712,45,LS,Scolopsis ciliatus,15,1,FALSE,MRD,
ZIPI5R0712,45,LS,Chelmon rostratus,15,2,FALSE,MRD,
ZIPI5R0712,45,LS,Chlorurus sordidus,20,1,FALSE,MRD,
ZIPI5R0712,45,RD,Zanclus cornutus,12,1,FALSE,MRD,
ZIPI5R0712,45,RD,Epibulus insidiator,12,1,FALSE,MRD,
ZIPI5R0712,45,RD,Pomacentrus reidi,6,16,FALSE,MRD,
ZIPI5R0712,45,RD,Scolopsis ciliatus,15,1,FALSE,MRD,
ZIPI5R0712,45,RD,Chaetodon octofasciatus,10,1,FALSE,MRD,
ZIPI6R0712,40,B,Pomacentrus sp.,2,1,TRUE,MRD,
ZIPI6R0712,25,B,Neopomacentrus anabatoides,2,25,TRUE,MRD,
ZIPI6R0712,20,B,Chrysiptera cyanea,2,10,TRUE,MRD,
ZIPI6R0712,10,B,Halichoeres scapularis,3,1,TRUE,MRD,
ZIPI6R0712,5,B,Halichoeres trimaculatus,3,1,TRUE,MRD,
ZIPI6R0712,0,RD,Dischistodus perspicillatus,12,1,FALSE,MRD,
ZIPI6R0712,0,RD,Pomacentrus grammorhynchus,7,1,FALSE,MRD,
ZIPI6R0712,0,RD,Epibulus insidiator,15,1,FALSE,MRD,
ZIPI6R0712,0,RD,Pomacentrus alexanderae,7,2,FALSE,MRD,
ZIPI6R0712,0,RD,Neopomacentrus anabatoides,6,7,FALSE,MRD,
ZIPI6R0712,0,RD,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI6R0712,0,RD,Pomacentrus reidi,6,5,FALSE,MRD,
ZIPI6R0712,0,LS,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI6R0712,0,LS,Pomacentrus grammorhynchus,7,1,FALSE,MRD,
ZIPI6R0712,0,LS,Pomacentrus burroughi,8,8,FALSE,MRD,
ZIPI6R0712,0,LS,Chaetodon octofasciatus,10,1,FALSE,MRD,
ZIPI6R0712,5,LS,Pomacentrus burroughi,8,8,FALSE,MRD,
ZIPI6R0712,5,LS,Chrysiptera cyanea,5,2,FALSE,MRD,
ZIPI6R0712,5,LS,Neopomacentrus anabatoides,6,5,FALSE,MRD,
ZIPI6R0712,5,LS,Neopomacentrus anabatoides,4,25,FALSE,MRD,
ZIPI6R0712,5,LS,Chaetodon octofasciatus,10,1,FALSE,MRD,
ZIPI6R0712,5,LS,Amblyglyphidodon curacao,8,1,FALSE,MRD,
ZIPI6R0712,5,RD,Diploprion bifasciatum,8,1,FALSE,MRD,
ZIPI6R0712,5,RD,Halichoeres melanurus,10,2,FALSE,MRD,
ZIPI6R0712,5,RD,Pomacentrus burroughi,6,2,FALSE,MRD,
ZIPI6R0712,5,RD,Pomacentrus burroughi,8,3,FALSE,MRD,
ZIPI6R0712,5,RD,Chaetodon octofasciatus,10,1,FALSE,MRD,
ZIPI6R0712,5,RD,Halichoeres trimaculatus,10,1,FALSE,MRD,
ZIPI6R0712,10,RD,Halichoeres nigrescens,13,1,FALSE,MRD,
ZIPI6R0712,10,RD,Dischistodus perspicillatus,10,1,FALSE,MRD,
ZIPI6R0712,10,RD,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI6R0712,10,RD,Pomacentrus reidi,6,1,FALSE,MRD,
ZIPI6R0712,10,LS,Halichoeres trimaculatus,12,1,FALSE,MRD,
ZIPI6R0712,10,LS,Pomacentrus burroughi,8,7,FALSE,MRD,
ZIPI6R0712,10,LS,Pomacentrus burroughi,6,2,FALSE,MRD,
ZIPI6R0712,10,LS,Pomacentrus alexanderae,6,5,FALSE,MRD,
ZIPI6R0712,10,LS,Chrysiptera parasema,5,3,FALSE,MRD,
ZIPI6R0712,10,LS,Halichoeres richmondi,12,1,FALSE,MRD,
ZIPI6R0712,10,LS,Neopomacentrus anabatoides,6,10,FALSE,MRD,
ZIPI6R0712,15,LS,Pomacentrus burroughi,6,10,FALSE,MRD,
ZIPI6R0712,15,LS,Neopomacentrus anabatoides,6,8,FALSE,MRD,
ZIPI6R0712,15,LS,Chrysiptera parasema,5,7,FALSE,MRD,
ZIPI6R0712,15,RD,Amblyglyphidodon batunai,7,1,FALSE,MRD,
ZIPI6R0712,15,RD,Halichoeres melanurus,10,2,FALSE,MRD,
ZIPI6R0712,15,RD,Scolopsis ciliatus,15,1,FALSE,MRD,
ZIPI6R0712,15,RD,Halichoeres scapularis,12,1,FALSE,MRD,
ZIPI6R0712,15,RD,Cephalopholis boenak,13,1,FALSE,MRD,
ZIPI6R0712,15,RD,Pomacentrus reidi,7,2,FALSE,MRD,
ZIPI6R0712,15,RD,Pomacentrus burroughi,8,4,FALSE,MRD,
ZIPI6R0712,15,RD,Chrysiptera parasema,5,8,FALSE,MRD,
ZIPI6R0712,15,RD,Chrysiptera parasema,3,10,FALSE,MRD,
ZIPI6R0712,15,RD,Diploprion bifasciatum,8,1,FALSE,MRD,
ZIPI6R0712,15,RD,Dischistodus prosopotaenia,7,1,FALSE,MRD,
ZIPI6R0712,20,RD,Pentapodus aureofasciatus,20,2,FALSE,MRD,
ZIPI6R0712,20,RD,Halichoeres trimaculatus,10,1,FALSE,MRD,
ZIPI6R0712,20,RD,Pomacentrus burroughi,8,4,FALSE,MRD,
ZIPI6R0712,20,RD,Scolopsis ciliatus,15,4,FALSE,MRD,
ZIPI6R0712,20,RD,Pomacentrus reidi,6,5,FALSE,MRD,
ZIPI6R0712,20,RD,Pomacentrus alexanderae,6,1,FALSE,MRD,
ZIPI6R0712,20,RD,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI6R0712,20,RD,Pomacentrus burroughi,6,3,FALSE,MRD,
ZIPI6R0712,20,LS,Pomacentrus burroughi,8,8,FALSE,MRD,
ZIPI6R0712,20,LS,Pomacentrus burroughi,6,1,FALSE,MRD,
ZIPI6R0712,20,LS,Chrysiptera parasema,5,3,FALSE,MRD,
ZIPI6R0712,20,LS,Chrysiptera parasema,4,2,FALSE,MRD,
ZIPI6R0712,20,LS,Scolopsis lineatus,10,1,FALSE,MRD,
ZIPI6R0712,20,LS,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI6R0712,25,LS,Pomacentrus reidi,6,5,FALSE,MRD,
ZIPI6R0712,25,LS,Pomacentrus burroughi,8,3,FALSE,MRD,
ZIPI6R0712,25,LS,Scolopsis lineatus,12,1,FALSE,MRD,
ZIPI6R0712,25,RD,Pomacentrus alexanderae,6,1,FALSE,MRD,
ZIPI6R0712,25,RD,Epibulus insidiator,18,3,FALSE,MRD,
ZIPI6R0712,25,RD,Pentapodus aureofasciatus,18,1,FALSE,MRD,
ZIPI6R0712,25,RD,Scolopsis ciliatus,15,3,FALSE,MRD,
ZIPI6R0712,25,RD,Pomacentrus reidi,7,2,FALSE,MRD,
ZIPI6R0712,25,RD,Parupeneus barberinus,18,1,FALSE,MRD,
ZIPI6R0712,25,RD,Zanclus cornutus,12,2,FALSE,MRD,
ZIPI6R0712,25,RD,Chaetodon octofasciatus,10,2,FALSE,MRD,
ZIPI6R0712,25,RD,Balistoides viridescens,25,1,FALSE,MRD,
ZIPI6R0712,25,RD,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI6R0712,25,RD,Neopomacentrus anabatoides,6,5,FALSE,MRD,
ZIPI6R0712,25,RD,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI6R0712,30,RD,Pomacentrus burroughi,8,16,FALSE,MRD,
ZIPI6R0712,30,RD,Pomacentrus burroughi,6,2,FALSE,MRD,
ZIPI6R0712,30,RD,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI6R0712,30,RD,Neopomacentrus anabatoides,6,20,FALSE,MRD,
ZIPI6R0712,30,RD,Scolopsis ciliatus,15,1,FALSE,MRD,
ZIPI6R0712,30,RD,Halichoeres richmondi,12,1,FALSE,MRD,
ZIPI6R0712,30,RD,Chrysiptera parasema,3,2,FALSE,MRD,
ZIPI6R0712,30,LS,Chaetodon octofasciatus,12,2,FALSE,MRD,
ZIPI6R0712,30,LS,Neopomacentrus anabatoides,6,30,FALSE,MRD,
ZIPI6R0712,30,LS,Pomacentrus alexanderae,7,1,FALSE,MRD,
ZIPI6R0712,30,LS,Pomacentrus burroughi,8,10,FALSE,MRD,
ZIPI6R0712,30,LS,Pomacentrus moluccensis,4,1,FALSE,MRD,
ZIPI6R0712,30,LS,Chrysiptera parasema,3,2,FALSE,MRD,
ZIPI6R0712,30,LS,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI6R0712,30,LS,Scolopsis lineatus,7,1,FALSE,MRD,
ZIPI6R0712,30,LS,Halichoeres trimaculatus,9,1,FALSE,MRD,
ZIPI6R0712,35,LS,Neopomacentrus anabatoides,6,25,FALSE,MRD,
ZIPI6R0712,35,LS,Zanclus cornutus,12,1,FALSE,MRD,
ZIPI6R0712,35,LS,Halichoeres melanurus,12,1,FALSE,MRD,
ZIPI6R0712,35,LS,Chaetodon octofasciatus,12,2,FALSE,MRD,
ZIPI6R0712,35,LS,Chaetodon octofasciatus,10,1,FALSE,MRD,
ZIPI6R0712,35,LS,Pomacentrus burroughi,8,6,FALSE,MRD,
ZIPI6R0712,35,RD,Neopomacentrus anabatoides,6,30,FALSE,MRD,
ZIPI6R0712,35,RD,Pomacentrus burroughi,8,4,FALSE,MRD,
ZIPI6R0712,35,RD,Pomacentrus burroughi,6,2,FALSE,MRD,
ZIPI6R0712,35,RD,Cheilodipterus quinquelineatus,10,1,FALSE,MRD,
ZIPI6R0712,35,RD,Chrysiptera parasema,5,2,FALSE,MRD,
ZIPI6R0712,35,RD,Scolopsis ciliatus,15,2,FALSE,MRD,
ZIPI6R0712,35,RD,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI6R0712,40,RD,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI6R0712,40,RD,Pomacentrus burroughi,6,2,FALSE,MRD,
ZIPI6R0712,40,RD,Pomacentrus reidi,7,2,FALSE,MRD,
ZIPI6R0712,40,RD,Cephalopholis boenak,12,1,FALSE,MRD,
ZIPI6R0712,40,RD,Scolopsis ciliatus,18,1,FALSE,MRD,
ZIPI6R0712,40,RD,Scolopsis ciliatus,15,1,FALSE,MRD,
ZIPI6R0712,40,RD,Halichoeres trimaculatus,12,1,FALSE,MRD,
ZIPI6R0712,40,RD,Pomacentrus burroughi,8,4,FALSE,MRD,
ZIPI6R0712,40,RD,Pentapodus aureofasciatus,18,1,FALSE,MRD,
ZIPI6R0712,40,LS,Chelmon rostratus,18,1,FALSE,MRD,
ZIPI6R0712,40,LS,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI6R0712,40,LS,Pomacentrus burroughi,8,5,FALSE,MRD,
ZIPI6R0712,40,LS,Chaetodontoplus mesoleucus,18,1,FALSE,MRD,
ZIPI6R0712,40,LS,Lutjanus decussatus,20,1,FALSE,MRD,
ZIPI6R0712,40,LS,Chaetodon octofasciatus,10,1,FALSE,MRD,
ZIPI6R0712,40,LS,Chaetodon octofasciatus,12,2,FALSE,MRD,
ZIPI6R0712,40,LS,Neopomacentrus anabatoides,6,25,FALSE,MRD,
ZIPI6R0712,40,LS,Pentapodus aureofasciatus,18,1,FALSE,MRD,
ZIPI6R0712,45,LS,Chaetodon octofasciatus,12,2,FALSE,MRD,
ZIPI6R0712,45,LS,Cheilinus fasciatus,18,1,FALSE,MRD,
ZIPI6R0712,45,LS,Pomacentrus burroughi,8,9,FALSE,MRD,
ZIPI6R0712,45,LS,Pomacentrus burroughi,6,3,FALSE,MRD,
ZIPI6R0712,45,LS,Halichoeres trimaculatus,10,1,FALSE,MRD,
ZIPI6R0712,45,LS,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI6R0712,45,RD,Halichoeres trimaculatus,12,1,FALSE,MRD,
ZIPI6R0712,45,RD,Pomacentrus burroughi,8,8,FALSE,MRD,
ZIPI6R0712,45,RD,Diploprion bifasciatum,6,3,FALSE,MRD,
ZIPI6R0712,45,RD,Diploprion bifasciatum,12,1,FALSE,MRD,
NBIN4R0712,50,LD,Naso lituratus,20,1,FALSE,MRD,
NBIN4R0712,50,LD,Chlorurus sordidus,18,2,FALSE,MRD,
NBIN4R0712,50,LD,Chlorurus bleekeri,25,1,FALSE,MRD,
NBIN4R0712,50,LD,Zanclus cornutus,12,3,FALSE,MRD,
NBIN4R0712,50,LD,Acanthurus grammoptilus,18,1,FALSE,MRD,
NBIN4R0712,50,LD,Ctenochaetus striatus,15,2,FALSE,MRD,
NBIN4R0712,50,LD,Ctenochaetus striatus,12,1,FALSE,MRD,
NBIN4R0712,50,LD,Amblyglyphidodon leucogaster,12,1,FALSE,MRD,
NBIN4R0712,50,LD,Ctenochaetus tominiensis,15,1,FALSE,MRD,
NBIN4R0712,50,LD,Oxycheilinus digrammus,12,1,FALSE,MRD,
NBIN4R0712,50,LD,Pseudanthias huchti,10,1,FALSE,MRD,
NBIN4R0712,50,LD,Cephalopholis microprion,10,1,FALSE,MRD,
NBIN4R0712,50,LD,Cephalopholis microprion,10,1,FALSE,MRD,
NBIN4R0712,50,LD,Pomacentrus moluccensis,6,5,FALSE,MRD,
NBIN4R0712,50,LD,Pomacentrus moluccensis,4,10,FALSE,MRD,
NBIN4R0712,50,LD,Chromis amboinensis,6,10,FALSE,MRD,
NBIN4R0712,50,LD,Chromis amboinensis,4,10,FALSE,MRD,
NBIN4R0712,50,LD,Chromis retrofasciata,4,25,FALSE,MRD,
NBIN4R0712,50,LD,Centropyge vroliki,8,2,FALSE,MRD,
NBIN4R0712,50,LD,Centropyge vroliki,6,5,FALSE,MRD,
NBIN4R0712,50,LD,Pomacentrus amboinensis,7,10,FALSE,MRD,
NBIN4R0712,50,LD,Pomacentrus amboinensis,4,5,FALSE,MRD,
NBIN4R0712,50,LD,Dascyllus reticulatus,6,20,FALSE,MRD,
NBIN4R0712,50,LD,Dascyllus reticulatus,4,20,FALSE,MRD,
NBIN4R0712,50,LD,Dascyllus aruanus,5,25,FALSE,MRD,
NBIN4R0712,50,LD,Dascyllus trimaculatus,5,4,FALSE,MRD,
NBIN4R0712,50,RS,Cirrhilabrus cyanopleura,10,50,FALSE,MRD,
NBIN4R0712,50,RS,Pomacentrus brachialis,7,20,FALSE,MRD,
NBIN4R0712,50,RS,Pomacentrus brachialis,5,10,FALSE,MRD,
NBIN4R0712,50,RS,Dascyllus reticulatus,6,25,FALSE,MRD,
NBIN4R0712,50,RS,Chlorurus sordidus,20,4,FALSE,MRD,
NBIN4R0712,50,RS,Ctenochaetus striatus,15,2,FALSE,MRD,
NBIN4R0712,50,RS,Pseudanthias huchti,10,50,FALSE,MRD,
NBIN4R0712,50,RS,Pomacentrus amboinensis,7,10,FALSE,MRD,
NBIN4R0712,50,RS,Pomacentrus amboinensis,5,10,FALSE,MRD,
NBIN4R0712,50,RS,Dascyllus aruanus,6,2,FALSE,MRD,
NBIN4R0712,50,RS,Pomacentrus coelestis,4,10,FALSE,MRD,
NBIN4R0712,50,RS,Exyrias belissimus,10,1,FALSE,MRD,
NBIN4R0712,50,RS,Labrichthys unilineatus,12,1,FALSE,MRD,
NBIN4R0712,50,RS,Ctenochaetus striatus,15,2,FALSE,MRD,
NBIN4R0712,50,RS,Chrysiptera talboti,4,3,FALSE,MRD,
