Year,Month,Length,Length Type,Sex,Special,MPA,Fishery Dependent
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,27.5,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.0,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,28.5,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.0,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,29.5,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.0,Total (cm),Male,-999,0,1
2012,November,30.3,Total (cm),Male,-999,0,1
2012,November,30.5,Total (cm),Male,-999,0,1
2012,November,30.5,Total (cm),Male,-999,0,1
2012,November,30.5,Total (cm),Male,-999,0,1
2012,November,30.5,Total (cm),Male,-999,0,1
2012,November,30.5,Total (cm),Male,-999,0,1
2012,November,30.5,Total (cm),Male,-999,0,1
